input_text,target_text
generate description: The Puppet Company - Long Sleeves - Cockerel Hand Puppet,"Product Description This thirty eight centimetre long glove puppet is great for play or for puppet performances. Made of high quality material, with excellent attention to details in the construction the animal will be a firm favourite. The mouth and paws are movable. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Long Sleeved Glove Puppet"
generate description: Fiesta Crafts Pterodactyl Hand Puppet,"Product Description Nothing sparks a child's imagination more than a traditional puppet, so this bright, playful and fully interactive moving mouth puppet will provide hours of fun for the entire family. With adorable details including legs and feet, the pterodactyl puppet really does come to life, helping to develop a child's imagination as they stage their very own puppet shows playing out their very own stories. The intricate design and detail as well as the colours and fabrics will make sure that the puppet stands out on any shelf, while the soft fabrics make it an ideal bedtime companion for young children. The puppet is also available in monkey, crocodile, green dinosaur, red dinosaur and penguin designs. Box Contains 1 x Puppet"
generate description: Three Little Pigs Hand Puppet Story Set,5 puppets. A great aid to story telling
generate description: The Puppet Company - Large Birds - Scarlet Macaw Hand Puppet,"Product Description The Large bird puppet has a fully working mouth, with a realistic squawk. The bright colours and beautiful materials give him a wonderful personality, just right for play or puppet performances. The puppet is forty five centimetres high excluding the tail. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Hand Puppet"
generate description: The Puppet Company - Long Sleeved Bear Hand Puppet,"Product Description This thirty eight centimetre long glove puppet is great for play or for puppet performances. Made of high quality material, with excellent attention to details in the construction the animal will be a firm favourite. The mouth and paws are movable. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Long Sleeved Glove Puppet"
generate description: The Puppet Company - Long Sleeves - Hen Hand Puppet,"Product Description This thirty eight centimetre long glove puppet is great for play or for puppet performances. Made of high quality material, with excellent attention to details in the construction the animal will be a firm favourite. The mouth and paws are movable. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Long Sleeved Glove Puppet"
generate description: Melissa & Doug Puppets Rory The Lion Puppet,"Meet Rory, The King of the Jumbles, ready to be the Mane leader in any play. Using one hand to open and close his mouth while the other uses the removable wooden rod to gesture, your puppeteer will want to put this easily animated puppet in the spotlight! He is roaring to be a star! Detachable rod is suitable for lefties or righties."
generate description: Bee Puppet,"Make friends with the flowers wherever you go with this plump & plush Bee glove puppet. Anatomically accurate six-fingered design can be worn by both adults & children, on either hand. Hangtag includes a favorite Aesop's fable. Slip your hand in the glove to make his legs wriggle. This item is 8"" LONG x 4"" TALL x 4"" WIDE."
"generate description: Puppet Dog Reggie 26""/66cm ventriloquist, play, tell stories, educational. Free UK delivery","Here we have a large 26"" ventriloquist puppet named Reggie. With a hand operated moving mouth you also receive a Velcro rod which can be used to move either hand. Made to a high standard our puppets are great for storytelling and bringing your imagination to life. Entertain your family and friends by having your puppet; Wave, say hello, nod, become shy, laugh and even give a bow All it takes is a bit of practise Puppets are a great educational tool for playgroups and schools helping to make learning fun and exciting Suitable for children ages 3 and up including those of us young at heart. Sold to you by A.S Puppets.co.uk. Please note delivery is only available in the UK. We do not ship outside of the UK. Please see our other listings as we have lots of different puppets that may catch your eye."
"generate description: Puppet Rabbit Alfie 26""/66cm ventriloquist, play, tell stories, educational. Free UK delivery","Here we have a large 26"" ventriloquist puppet named Alfie. With a hand operated moving mouth you also receive a Velcro rod which can be used to move either hand. Made to a high standard our puppets are great for storytelling and bringing your imagination to life. Entertain your family and friends by having your puppet; Wave, say hello, nod, become shy, laugh and even give a bow All it takes is a bit of practise Puppets are a great educational tool for playgroups and schools helping to make learning fun and exciting Suitable for children ages 3 and up including those of us young at heart. Sold to you by A.S Puppets.co.uk. Please note delivery is only available in the UK. We do not ship outside of the UK. Please see our other listings as we have lots of different puppets that may catch your eye."
generate description: The Puppet Company - Long Sleeves - Horse Hand Puppet,"Product Description This thirty eight centimetre long glove puppet is great for play or for puppet performances. Made of high quality material, with excellent attention to details in the construction the animal will be a firm favourite. The mouth and paws are movable. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Long Sleeved Glove Puppet"
"generate description: Puppet Pink huggy monster 26""/66cm ventriloquist, play, tell stories, educational. Free UK delivery","Here we have a large 26"" ventriloquist puppet named Pink huggy. With a hand operated moving mouth you also receive a Velcro rod which can be used to move either hand. Made to a high standard our puppets are great for storytelling and bringing your imagination to life. Entertain your family and friends by having your puppet; Wave, say hello, nod, become shy, laugh and even give a bow All it takes is a bit of practise Puppets are a great educational tool for playgroups and schools helping to make learning fun and exciting Suitable for children ages 3 and up including those of us young at heart. Sold to you by A.S Puppets.co.uk. Please note delivery is only available in the UK. We do not ship outside of the UK. Please see our other listings as we have lots of different puppets that may catch your eye."
generate description: Ladybird Hand Puppet,"3 years & up. This adorable Ladybug glove puppet fits growing hands of all sizes, from children to adults. Innovative six-fingered design can be worn on either hand. Includes a hangtag featuring popular children's rhymes."
generate description: Tellatale Horse and Rider Hand Puppet,"Product Description Tellatale Hand Puppets provide endless entertainment possibilities. The characters of ‘Arabella’ and ‘Knight’, both on horseback, bring exciting innovation to the range. These puppets are beautifully designed, using soft, bright fabrics with lots of adorable details and features. Box Contains 1 x Hand Puppet"
generate description: Violetta Hand Puppet,"•Violetta is a cheeky little girl, who likes to tell jokes. •Access through the head with a moveable mouth and tongue. •Suitable for both adults and children to use. •Machine washable at 30°C, according to the care instructions. •Not suitable for children under 10 Months due to long hair. •Size: approx. 38 cm"
"generate description: SPECIAL OFFER**Puppet Pig Percy 26""/66cm ventriloquist, play, tell stories, educational. Free UK delivery","SPECIAL OFFER: £25.00 INSTEAD OF £35.00 Here we have a large 26"" ventriloquist puppet named Percy. With a hand operated moving mouth you also receive a Velcro rod which can be used to move either hand. Made to a high standard our puppets are great for storytelling and bringing your imagination to life. Entertain your family and friends by having your puppet; Wave, say hello, nod, become shy, laugh and even give a bow All it takes is a bit of practise Puppets are a great educational tool for playgroups and schools helping to make learning fun and exciting Suitable for children ages 3 and up including those of us young at heart. Sold to you by A.S Puppets.co.uk. Please note delivery is only available in the UK. We do not ship outside of the UK. Please see our other listings as we have lots of different puppets that may catch your eye."
generate description: Melissa & Doug King Puppet,"Product Description Melissa and Doug's King Puppet - King Carl Castlehoff IV is destined to reign over his kingdom, all he needs is you to bring him to life. Made to a unique design the puppet features elegant detailing that is durable, helping him complete many different royal quests for years to come. Manipulate the king's arms and facial expressions to give him character, perfect for pretend play,Dimensions: 17"" x 7"" x 8"", suitable for ages 3+ years. Box Contains PuppetHand Rod"
generate description: AHK Puppets - British Wildlife Hand Puppet Set,"A wonderful selection of high quality puppets that portray a fantastic range of wildlife found in Britain. The set consists of a badger, red squirrel, rabbit, fox and frog. Available in The Earlybird Range are sets of Farm, Safari, Jungle and British Wildlife puppets."
"generate description: Puppet grandad Ernest 26""/66cm ventriloquist, play, tell stories, educational. Free UK delivery","Here we have a large 26"" ventriloquist puppet named Ernest. With a hand operated moving mouth you also receive a Velcro rod which can be used to move either hand. Made to a high standard our puppets are great for storytelling and bringing your imagination to life. Entertain your family and friends by having your puppet; Wave, say hello, nod, become shy, laugh and even give a bow All it takes is a bit of practise Puppets are a great educational tool for playgroups and schools helping to make learning fun and exciting Suitable for children ages 3 and up including those of us young at heart. Sold to you by A.S Puppets.co.uk. Please note delivery is only available in the UK. We do not ship outside of the UK. Please see our other listings as we have lots of different puppets that may catch your eye."
generate description: The Puppet Company - Sockettes - Lipstick Hand Puppet,"Squeak, squeak! This long sleeved sockette glove puppet is a brightly coloured, loud character. Excellent for play or puppet theatre. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet."
"generate description: Puppet Plush Lamb 10""/25.5cm ventriloquist, play, tell stories, educational. moving hands. Free UK delivery","Here is a 10"" puppet Plush Lamb. With moving arms he is perfect for playing, telling stories as well as being used for educational purposes. Suitable for children ages 3 and up inlcuding those of us young at heart. sold to you by A.S Puppets.co.uk. Please note delivery is only availible in the uk. We do not ship outside of the uk. please see our our listings as we have loads more puppets that may catch your eye."
generate description: The Puppet Company - Giant Birds - Ostrich Hand Puppet,"Product Description Providing young children with hours of fun. Children and adults are facinated and enchanted by the magic of puppetry and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal, bird or character into a beautiful puppet. This two tone tiger is ideal for use by both adults and children Box Contains 1 x Puppet"
generate description: Manhattan Toy Wildlife Collection Elian Elephant,"Product Description Elian Elephant's floppy big ears and long nose will make children laugh. You'll love Elian's soft, gray coat of fur and cute tusks and toes. Make story time fun with this realistic wildlife animal. Box Contains 1 x Wildlife Collection Elian Elephant"
generate description: Plush Lion Soft Toy Hand Puppet 28cm,"Quality soft, cute and cuddly lion soft toy hand puppet by Dowman Soft Touch, measuring 28cm. All Dowman Soft Touch toys are designed by craftsmen and handmade with the highest quality materials exclusively for Dowman Imports Ltd. All Dowman Soft Touch soft toys are fairly traded with the peoples and countries of origin. All Dowman Soft Touch soft toys conform to all European safety standards EN71 BS5665. Not recommended for children under 36 months due to possible fibre loss"
generate description: The Puppet Company - People Who Help Us - Keeper Hand Puppet,"Product Description Use this twenty eight centimetre high glove puppet to help children understand the role of people that help them in life. This zoo keeper puppet is excellent for role play or puppet theatre. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Hand Puppet"
generate description: Hedgehog Hand Puppet,Koffertje Egeltje Prik
generate description: Iguana Hand Puppet,Beleduc Handpop Leguaan
generate description: The Puppet Company - Giant Birds - Flamingo Hand Puppet,"Product Description Providing young children with hours of fun. Children and adults are facinated and enchanted by the magic of puppetry and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal, bird or character into a beautiful puppet. This two tone tiger is ideal for use by both adults and children Box Contains 1 x Puppet"
generate description: Hacker T. Dog Hand Puppet,"Product Description Now you can take your own cheeky chappy Hacker Puppet everywhere! This is 40cm official replica of the star from CBBC . The puppet is easy to master, with a hole where the hand can be inserted into Hacker's jaw. The puppet looks just like Hacker, and features an adjustable dog collar. For ages 3 years and over Box Contains 1x Hacker T. Dog Hand Puppet"
generate description: Fiesta Crafts Princess Tellatale Hand Glove Puppet,"Princess Hand Puppet Size 30cm Stories can be made up, told and re-told using this soft to the touch hand puppet Collect others in the collection and watch young Thespians emerge These tellatale puppets makes the perfect gift for both girls and boys Age 3-9"
generate description: Fiesta Crafts Red Riding Hood Hand and Finger Puppet Set,"Product Description Imaginative play knows no bounds as this super soft hand puppet and finger puppet set brings the much-loved classic tale to life and is a fabulous activity to both entertain children and their families as well as encouraging development of children’s creativity and imagination. Includes Little Red Riding Hood hand puppet, Wolf, Grandma and the woodcutter finger puppets. The finger puppets are stored in pockets on Red Riding Hood’s skirt. Suitable from 3 to 9 years. Box Contains 1 x Red Riding Hood Hand Pupept1 x Woodcutter Finger Puppet1 x Grandma Finger Puppet1 x Wolf Finger Puppet"
generate description: Lilabell,"•Lilabell loves to look pretty in her favourite striped sweater and pinafore dress •Her mouth can be easily moved using the entrance in the back of the puppet's head •The Puppet is designed to fit both adults and children's hands •Machine washable at 30°C, according to the care instructions. •Not suitable for children under 10 Months due to long hair. •Size: approx. 65 cm"
generate description: La Vogue 1PC Babies Kids Animal Fun Hand Puppet Dolls Soft Stuffed Toys (Crocodile),"Colour Name:Crocodile Mateiral: Plush, PP Cotton Size: approx. 9.4""*5.5""(24cm*14cm) Easy to manipulate for both average adult hands and children's hands. With dedicate and fine design of the animal body and legs, this set of cute animal hand puppets can also be used as conventional plush toys when you finish story-telling for your kids. Note: 1. Color may vary slightly due to the color calibration of each individual monitor. 2. Slight deviation in size may exist due to manual measurement."
generate description: Bosse The Dog Puppet,"Bosse The Dog Puppet - Movable mouth, front paws and head. - Surface washable. - Access in to hands."
generate description: Manhattan Toy Dr. Seuss the Cat in the Hat Hand Puppet,Product Description Enjoy the zany and wild adventures of The Cat In The Hat with our hand puppet character. This super soft plush puppet's playful design is award winning and fits children and adults alike. Box Contains 1 x Manhattan Toy Dr. Seuss The Cat In The Hat Hand Puppet
generate description: The Puppet Company - Hide Away Puppets - Rabbit in A Lettuce with 3 Mini Beasts Hand Puppet,"The Rabbit lives inside the lettuce which gives you access to make him hide and appear out of his home to great effect. The 3 mini beasts included are Butterfly, Ladybird and Caterpillar. There are 10 leaves of the lettuce that have velcro to hold it in place but can be folded back to reveal a Mini Beast finger puppet friend. Suitable for children aged 12 months and over. Dimensions: Height: 33 cm."
generate description: The Puppet Company - Long Sleeves - Lion Hand Puppet,"Product Description This thirty eight centimetre long glove puppet is great for play or for puppet performances. Made of high quality material, with excellent attention to details in the construction the animal will be a firm favourite. The mouth and paws are movable. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Long Sleeved Glove Puppet"
"generate description: Puppet granmother Majorie 15""/38cm ventriloquist, play, tell stories, educational. moving mouth and hands. Free UK delivery","Here is a 15"" granmother puppet named Majorie. With a moving mouth and arms she is perfect for playing, telling stories as well as being used for educational purposes. Suitable for children ages 3 and up inlcuding those of us young at heart. sold to you by A.S Puppets.co.uk. Please note delivery is only availible in the uk. We do not ship outside of the uk. please see our our listings as we have loads more puppets that may catch your eye."
generate description: Manhattan Toy Fraggle Rock Hand Puppet (Red),"Product Description For over 25 years Fraggle Rock has entertained fans all around the world with music and humour. This creative collection of plush and puppet characters has continued to grow over the years and the Manhattan Toy collection is where you can find all your personal favourites! Red has an exuberant and athletic nature. She also tends to be highly cynical and sometime teases her friends. Like Gobo, Red likes to take the lead and they sometime butt heads. Red has a yellowish, orange complexion, orange hair and wears a red sweater. Super soft hand puppet measuring over 25cm tall Box Contains 1 x Manhattan Toy Fraggle Rock Red Hand Puppet"
generate description: The Puppet Company - Sockettes - Scorch Hand Puppet,"Product Description Squeak, squeak! This long sleeved sockette glove puppet is a brightly coloured, loud character. Excellent for play or puppet theatre. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Glove Puppet"
generate description: GUND Sesame Street Big Bird Hand Puppet 45.5cm,"Sesame Big Bird Monster Plush Full Body Hand Puppet from Gund encourages creativity through pretend play and helps in the development of fine motor skills. Plush Big Bird features a plush full body, hard eyes and poseable arms. Big Bird hand puppet provide hours of ""hands on"" fun for any little or big Big Bird fan! Measures approximately 15"" T x 6.5"" W. Surface washable. Ages 6 months & up."
generate description: The Puppet Company - European Wildlife - Badger Hand Puppet,"Product Description This twenty five centimetre high glove puppet friend is perfect for play or for puppet theatre. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Glove Puppet"
generate description: The Puppet Company - Sockettes - Rainbow Hand Puppet,"Product Description Squeak, squeak! This long sleeved sockette glove puppet is a brightly coloured, loud character. Excellent for play or puppet theatre. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet."
generate description: Gingerbread Man Hand Puppet Story Set,Ginger bread boy Gingerbread Man
generate description: The Puppet Company - Long Sleeves - Pig Hand Puppet,"Product Description This thirty eight centimetre long glove puppet is great for play or for puppet performances. Made of high quality material, with excellent attention to details in the construction the animal will be a firm favourite. The mouth and paws are movable. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Long Sleeved Glove Puppet"
generate description: Goldilocks Tellatale Hand Puppet,"Product Description The Goldilocks Set includes the naughty porridge-eater herself, as well as Daddy Bear, Mummy Bear and Baby Bear. Box Contains 1 x Hand Puppet"
generate description: Tobar Father Christmas Matryoshka Toddler Toy,"Product Description Tobar 08968 FATHER CHRISTMAS MATRYOSHKA, Our Russian Dolls have been favourites for years and naturally we jumped at the chance to include a Christmas version, These seven, wooden Santa Claus characters neatly stack inside one another, and each is decorated with their own design, A traditional curiosity and a charming, festive ornament, Hand Painted, Largest Doll 14.5cm, Seven Nest Russian Doll, Packaged in a sturdy perspex drum. Box Contains 1X Tobar 08968 FATHER CHRISTMAS MATRYOSHKA"
"generate description: Puppet Danny bear 15""/38cm ventriloquist, play, tell stories, educational. moving mouth and hands. Free UK delivery","Here is a 15"" puppet named Danny. With a moving mouth and arms he is perfect for playing, telling stories as well as being used for educational purposes. Suitable for children ages 3 and up inlcuding those of us young at heart. sold to you by A.S Puppets.co.uk. Please note delivery is only availible in the uk. We do not ship outside of the uk. please see our our listings as we have loads more puppets that may catch your eye."
generate description: Melissa & Doug Mermaid Puppet,"Product Description With her long yellow hair and silky accessories, Shelly Seashore makes a splash wherever she goes! Top-quality materials and durable construction ensure that this hand-and-rod puppet will look great performance after performance. It's enjoyable for every skill level, too - the rod removes easily for beginners, then reattaches to either hand as hand-eye coordination and dexterity improve. Box Contains 1x mermaid puppet"
"generate description: Puppet girl Lola 15""/38cm ventriloquist, play, tell stories, educational. moving mouth and hands. Free UK delivery","Here is a 15"" girl puppet named Lola. With a moving mouth and arms she is perfect for playing, telling stories as well as being used for educational purposes. Suitable for children ages 3 and up inlcuding those of us young at heart. sold to you by A.S Puppets.co.uk. Please note delivery is only availible in the uk. We do not ship outside of the uk. please see our our listings as we have loads more puppets that may catch your eye."
generate description: Hand Puppets - Jungle Animals Set,"A wonderful selection of high quality puppets mimicking animals found in various jungles throughout the world. The set consists of a red panda, chimpanzee, koala, lemur, tiger and gorilla. Available in The Earlybird Range are sets of Farm, Safari, Jungle and British Wildlife puppets."
generate description: The Puppet Company - Time For Story - Princess Hand Puppet,"Product Description Providing young children with hours of fun. Children and adults are facinated and enchanted by the magic of puppetry and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal, bird or character into a beautiful puppet. This 'Time for Stories Puppet' is ideal for use by both children and adults. Box Contains 1 x Puppet"
generate description: Folkmanis Whale Puppet,"Product Description Folkmanis brings the largest creature on the planet down to a scale that is easy to handle for kids and adults. The Blue Whale is created from textured, soft fabrics and has side fins and a small dorsal fin. Ideal for use in interactive stage and Puppet Theatre, Folkmanis Puppets are also great for teaching, day-care, school, pretend play, games and parties, or to pair with a book for storytelling. Easy to feed and care for, just add lots of love and snuggly fun. Box Contains 1 x Whale Puppet"
generate description: The Puppet Company Teaching Mitts Five A Day Hand Puppet,"Product Description Designed to fit adult hands this mitt is perfect for using with young children to start to fruit and vegetables, an early introduction to nutrition and healthy eating. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Hand Mitt Puppet"
generate description: Koala Bear Hand Puppet Soft Toy 28cm (RBP27),"Quality soft, cute and cuddly koala soft toy hand puppet by Dowman Soft Touch, measuring 28cm. All Dowman Soft Touch toys are designed by craftsmen and handmade with the highest quality materials exclusively for Dowman Imports Ltd. All Dowman Soft Touch soft toys are fairly traded with the peoples and countries of origin. All Dowman Soft Touch soft toys conform to all European safety standards EN71 BS5665. Not recommended for children under 36 months due to possible fibre loss."
generate description: The Puppet Company - Enchanted Puppets - Onion with Black Rat Hand Puppet,"Product Description The Enchanted Puppet range is full of giant creatures from the imagination. The puppets are operated by a combination of hand and rod. The mischievous elf, Onion, is a playful friend or perfect for puppet theatre. Onion measures seventy five centimetres high and comes complete with his own pet rat.Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Puppet"
generate description: Roxie Raccoon - Spring Animal,"Roxie has long grey furry fabric on her body, with a white furry fabric belly and black rings on her tail. She is about 19"" long from the tip of her nose to the tip of her tail, and the main part of her body is about 11"" long. Let her eat out of your hand, wag her tail, nod her head, scoot up your chest, etc. Great comedy potential. Can also be used as a production item when using real livestock is not practical."
generate description: Fiesta Crafts Jack and the Beanstalk Hand and Finger Puppet Set,Product Description Imaginative play knows no bounds as Jack steals the giant’s golden goose and harp. Will he get eaten by the giant before he makes it down the beanstalk? This wonderful hand puppet and finger puppet set brings the much-loved classic tale to life and is a fabulous activity to both entertain children and their families as well as encouraging development of children’s creativity and imagination. Box Contains 1 X Giant Hand Puppet1 X Jack Finger Puppets1 x Mother Finger Puppet1 x Cow Finger Puppet1 X Detachable Harp1 X Detachable Hen1 X Beanstalk
generate description: Fiesta Crafts Jester Hand Puppet,"Product Description Stories can be made up, told and retold using these 30cm soft to the touch hand puppets, keeping lively minds enthralled for hours. Collect others in the collection and watch young thespians emerge. Box Contains 1 X Hand Puppet"
generate description: The Puppet Company - Large Birds - Crow Hand Puppet,"Product Description The Large bird puppet has a fully working mouth, with a realistic squawk. The bright colours and beautiful materials give him a wonderful personality, just right for play or puppet performances. The puppet is forty five centimetres high excluding the tail. Children and adults alike are fascinated and enchanted by the magic of puppetry, and the mystical puppets from The Puppet Company take the art to a whole new dimension. Puppets encourage children to be creative, use their imagination to tell exciting stories, to bring fairy tales to life, to entertain and to have fun. The Puppet Company have been producing high quality toys for many years and have built their reputation on their ability to translate any animal or character into a beautifully made and well-functioning puppet. Box Contains 1 x Hand Puppet"
generate description: Snuggle Pets Tummy Stuffers Monkey (Brown),"Product Description STUFF, STORE, SNUGGLE and MORE! Store anything in your Tummy Stuffer! Tummy Stuffers are new, innovative plush toys that you can open their mouths and feed them your socks, clothes, toys, shoes, bedding, pillows etc! Easy opening Cuddly companions for both home and on-the-go A great aid for making tidying up fun! Super soft plush with bright, attractive styling Machine washable Box Contains Tummy Stuffers Brown Monkey"
generate description: Well-Goal 1 of 28 Kinds Hand Puppets Cute Animal Gloves Baby Child Friends Toy,"Features: Brand new and high quality Very entertaining for children and easy to use Your children's bed story will be more lively Lots of entertainment,just use your imagination Plush and adorable, great for home, schools and other learning centers Material: Polyester fiber Color: As the pictures 28 Kinds: Dragon, Snake, Horse, Rabbit, Tiger, Panda, Sheep, Chicken, Turtle, Pig, Zebra, Loepard, Giraffe, Monkey, Mouse, Raccoon, Lion, Elephant, Hippo, Rhino, Cow, Dog, Eagle, Koala, Crocodile, Wolf, Duck, Frog Package Included: 1 x Animal Hand Puppets"
"generate description: Puppet grandad Ronald 26""/66cm ventriloquist, play, tell stories, educational. Free UK delivery","Here we have a large 26"" ventriloquist puppet named Ronald. With a hand operated moving mouth you also receive a Velcro rod which can be used to move either hand. Made to a high standard our puppets are great for storytelling and bringing your imagination to life. Entertain your family and friends by having your puppet; Wave, say hello, nod, become shy, laugh and even give a bow All it takes is a bit of practise Puppets are a great educational tool for playgroups and schools helping to make learning fun and exciting Suitable for children ages 3 and up including those of us young at heart. Sold to you by A.S Puppets.co.uk. Please note delivery is only available in the UK. We do not ship outside of the UK. Please see our other listings as we have lots of different puppets that may catch your eye."
generate description: White Rabbit Hand Puppet Finger Puppet,"* SODIAL is a registered trademark. ONLY Authorized seller of SODIAL can sell under SODIAL listings.Our products will enhance your experience to unparalleled inspiration. SODIAL(R) White Rabbit Hand Puppet Finger Puppet.This hand finger puppet set includes a big lifelike white rabbit hand puppet and a smaller one as the fingerpuppet. With soft velvet material and exquisite details, this white rabbit hand puppet finger puppet set isgreat company for little kids, also perfect props when parent telling bed time stories to their children. Agreat collection for your child!A set of lifelike white rabbit hand puppet and finger puppetSoft and comfortable to touch, exquisite detailsGreat company for little kids, also perfect props when parent telling bed time storiesMaterial: VelvetMain color: WhiteHand puppet size(H x W): Approx. 9.84 x 7.48 inch/25 x 19cm(Highest and widest point)Finger puppet size(H x W): Approx. 3.35 x 2.17 inch/8.5 x 5.5cm(Highest and widest point)Hand puppet bottom girth: Approx. 8.27 inch/21cmFinger puppet bottom girth: Approx. 2.36 inch/6cmPackage Includes:1 x Hand puppet1 x Finger puppetNote : Please be reminded that due to lighting effects and monitor's brightness/contrast settings etc, the colortone of the website's photo and the actual item could be slightly different."
generate description: AHK Hand Puppet - Tiger,"Soft and cute, furry brown, black and white tiger hand puppet."
generate description: Tobar Sock Monkey Puppet,"Product Description An adorable soft toy can be made from the pair of stripey socks included in this kit. Using the needle and thread cut sections of the socks are sewn together and stuffed with the filling, then finally decorated with button eyes and a striking red bow. Complete with clear instructions, this is a classic craft project that has appeal for boys and girls of all ages. Box Contains 1 x Tobar SC-SMPT SOCK MONKEY PUPPET"
